Title,Country,City,Job_type,Job_level,Mode,Area,Salary,Date,Applicants,Company,Skills,Functions,Requirements,URL
Desarrollador Back-end C# Sr,Argentina,Buenos Aires,Híbrido,Senior,FULL_TIME,Programación,4250.0,2023-07-19,4,Sumato-Id,"['C#', 'C', 'API', 'Computer vision', 'Blazor', 'Back-end', 'Machine Learning Engineer', 'Machine Learning', 'Artificial Intelligence']","En Sumato-Id estamos buscando un desarrollador C# proactivo, con ganas de aprender sobre nuevas tecnologías y que quiera crecer junto con nosotros en su carrera profesional.
Creamos soluciones para digitalizar las tiendas físicas basadas en algoritmos cognitivos, Machine Learning, biometría e inteligencia artificial.
Nos gusta innovar, ser creativos y trabajar con proyectos diversos.
La búsqueda está orientada a Desarrolladores C# para el desarrollo de nuevas soluciones.
La persona trabajará en el área de TI cumpliendo tareas de programación de acuerdo a los proyectos que surgen según los requerimientos de nuestros clientes.","Estamos buscando un desarrollador C# con experiencia, para ayudarnos a crear soluciones innovadoras para el mercado. Actualmente trabajamos con tecnologías como Blazor, Machine Learning, AI y Computer Vision, entre otras.
Buscamos personas proactivas que posean experiencia demostrable en:
- Amplio conocimiento y comprensión de la arquitectura de SDK (Software Development Kit) y su implementación en diversos proyectos.
- Capacidad para diseñar e implementar soluciones utilizando patrones de diseño y prácticas de desarrollo recomendadas en C# y SDK.
- Habilidad para liderar y colaborar con equipos de desarrollo en la construcción de soluciones basadas en SDK.
- Experiencia en la integración de API y servicios web utilizando SDK y la capacidad para solucionar problemas relacionados con dichas integraciones.
- Dominio de las mejores prácticas de rendimiento y optimización en aplicaciones C# y SDK para lograr un alto rendimiento y escalabilidad.
- Experiencia en la resolución de problemas y depuración de aplicaciones C# y SDK para identificar y abordar problemas de manera efectiva.",https://www.getonbrd.com/empleos/programacion/desarrollador-c-sr-sumato-id-buenos-aires
Data Engineer,,,Remoto,Semi Senior,FULL_TIME,Programación,2300.0,2023-07-27,168,Inflow,"['Django', 'Python', 'Virtualization', 'ETL', 'Amazon Web Services', 'Back-end', 'Cloud Computing', 'Data Engineer', 'Cloud']","Diseñar, desarrollar e implementar pipelines de datos eficientes y escalables utilizando tecnologías y herramientas como Python, Django, y el framework Scrapy.
Construir y mantener bases de datos y sistemas de almacenamiento de datos robustos y confiables.
Realizar la extracción, transformación y carga de datos de diversas fuentes, asegurando su calidad y coherencia.
Colaborar estrechamente con los equipos de desarrollo y análisis de datos para comprender y satisfacer las necesidades de datos de la organización.
Implementar prácticas de monitoreo y asegurar la disponibilidad y el rendimiento óptimo de los sistemas de datos.
Investigar y evaluar nuevas tecnologías y herramientas para mejorar continuamente los procesos y la eficiencia de la ingeniería de datos.
Mantenerse actualizado sobre las mejores prácticas y tendencias en ingeniería de datos y aplicar ese conocimiento en el trabajo diario.","Experiencia comprobada como Data Engineer o en roles similares.
Amplio conocimiento y experiencia en el lenguaje de programación Python.
Experiencia en el desarrollo de aplicaciones web utilizando el framework Django.
Familiaridad con el entorno de AWS y capacidad para diseñar y mantener infraestructuras de datos en la nube.
Conocimiento y experiencia en el desarrollo de web scraping, en particular utilizando el framework Scrapy.
Experiencia en el diseño y desarrollo de pipelines de datos, procesamiento ETL y almacenamiento de datos.
Conocimiento de bases de datos relacionales y no relacionales.
Fuertes habilidades analíticas y capacidad para trabajar con grandes volúmenes de datos.
Excelentes habilidades de resolución de problemas y atención al detalle.
Capacidad para trabajar de manera independiente y en equipo, y para gestionar múltiples proyectos y prioridades de manera efectiva.
Fuertes habilidades de comunicación verbal y escrita.",https://www.getonbrd.com/empleos/programacion/data-engineer-inflow-remote-172c
Software Developer Java / .NET,México,Ciudad de México,Presencial,Senior,FULL_TIME,Programación,3700.0,2023-05-12,20,XERI,"['NoSQL', 'SQL', '.Net', 'Back-end', 'English', 'JavaScript', 'Java', 'Software Developer']","Desarrollar soluciones en conjunto con otros desarrolladores de software
Apoyar en el desarrollo de sistemas
Trabajar con buenas prácticas y código limpio.","Experiencia desarrollando APIs.
Experiencia Java o .Net.
Conocimiento de JavaScript.
Uso de bases de datos SQL y NoSQL.
Inglés avanzado conversacional.
Disponibilidad para reubicación a Washington.",https://www.getonbrd.com/empleos/programacion/software-developer-java-net-usa-xeri-ciudad-de-mexico
Administrador de Accesos Ii,Perú,Lima,Híbrido,Junior,FULL_TIME,Programación,No hay información,2023-07-06,54,BCP,"['Windows Server', 'Linux']","Asignar accesos a los colaboradores y proveedores BCP de acuerdo a la matriz de roles vs accesos brindados de manera temporal o con algún ticket de atención que lo autorice.
Atención de flujos excepcionales de solicitudes de clientes BCP
Administración del mayor porcentaje de los aplicativos estándar usados en el banco con el fin de llevar el control sobre los mismos, manteniendo la seguridad y confidencialidad de acuerdo a las normas establecidas.
Cumplir los lineamientos, procedimientos y flujos internos en el proceso de otorgamiento de accesos.
Comunicar a jefatura cualquier problema detectado, planteando posibles mejoras teniendo en cuenta las normas establecidos con el fin de mantener comunicación constante para el control de incidencias.","Egresado o Estudiante de los últimos ciclos de las carrera de Ingeniería de Sistemas, Ingeniería de Software, Ingeniería Informática o afines.
Tienes experiencia de 1 año manejando herramientas de los sistemas operativos.
Cuentas con experiencia en el rol de administradores, analistas de sistemas o equipos de gestión de accesos.
Experiencia en manejo de sistemas operativos ( Linux/AIX ,Windows Server, AD.)",https://www.getonbrd.com/empleos/programacion/administrador-de-accesos-ii-bcp-lima
Professional Internship UX/UI Designer,,,Remoto,Sin experiencia requerida,FULL_TIME,Diseño / UX,425.0,2023-05-19,333,Buydepa,"['UX', 'Adobe Suite', 'Sketch', 'Web design', 'Service Design', 'Human Centered Design', 'User Research', 'Figma', 'UI Design']","Collaborate with the UX/UI design team to create intuitive and visually appealing user interfaces for web and mobile applications.
Conduct user research and gather insights to inform design decisions.
Assist in the creation of wireframes, prototypes, and user flows.
Apply design thinking principles to develop innovative service design concepts.
Work closely with cross-functional teams, including product managers and developers, to ensure the successful implementation of designs.
Stay up to date with the latest UX/UI design trends, tools, and best practices.","Currently pursuing a degree in Design, HCI, or a related field.
Strong portfolio showcasing UX/UI design work.
Proficiency in design software such as Sketch, Figma, or Adobe Creative Suite.
Familiarity with user research methodologies.
Knowledge of service design principles and methodologies.
Excellent communication and teamwork skills.
Ability to work independently and meet deadlines.",https://www.getonbrd.com/empleos/diseno-ux/professional-internship-ux-designer-buydepa-remote
Sales Executive Na,,,Remoto,Semi Senior,FULL_TIME,Comercial y Ventas,2300.0,2023-07-10,124,UNILINK,"['Marketing', 'E-commerce', 'Sales', 'English']",,"Demonstrable experience in sales, preferably in a B2B environment and targeting large businesses.
Proven ability to perform as a results-oriented salesperson, with a focus on acquiring new business.
Deep knowledge of the mining and energy industries in the U.S. and Canada.
Ability to develop and maintain relationships with senior executives of large businesses.
Exceptional verbal and written communication skills in English.
Ability to understand specific customer needs and propose tailored solutions.
Solid knowledge of the use and benefits of B2B e-commerce platforms.
High motivation and result orientation, with the ability to work independently.
Willingness to travel as needed for client meetings and networking events.
Ability to handle sales targets and meet deadlines.
A degree in Business, Marketing, Sales or a related field would be advantageous.",https://www.getonbrd.com/empleos/comercial-ventas/sales-executive-na-unilink-remote
Delphi Developer,,,Remoto,Semi Senior,FULL_TIME,Programación,2250.0,2023-07-07,8,Softacom,"['SQL', 'Delphi', 'English']","What you have to deal with:
Development of programs in Delphi;
Writing code, taking on the implementation of complex and non-standard tasks;
Participation in product architecture design;
Design and implementation of refactoring;
Effective interaction with the Customer for the development of software that meets its requirements;
Provide project descriptions as needed;
Identify the best tools and opportunities to improve products.","Requirements:
Practical experience with Delphi;
Knowledge and adherence to OOP principles when writing code;
Database experience including Firebird, Interbase, MS SQL. Knowledge of FireMonkey would be a plus;
Ability to comment on code, write clean code, work with other people's code;
Negotiation skills (preferred);
English from B1 and above (must-have!).",https://www.getonbrd.com/empleos/programacion/delphi-developer-softacom-remote
QA Engineer,,,Remoto,Semi Senior,FULL_TIME,SysAdmin / DevOps / QA,1250.0,2023-06-20,94,Cursalab,"['Node.js', 'Python', 'Back-end', 'User Testing', 'English', 'JavaScript', 'QA Engineer', 'Linux', 'UNIX']","Trabajar de cerca a desarrolladores para crear pruebas de caso, diseño de planes de testing, automatizar procesos de testing para verificar la funcionalidad del producto.
Trabajar de la mano con el Product Manager para revisar requerimientos y diseño del producto.
Manejo y monitoreo de errores de la plataforma ( via JIRA y herramientas aplicables).
Desarrollo e Implementación de la estrategia de la automatización de testing.
Generar API Level Automated Test Scripts usando diferentes herramientas y tecnologías.
Buen manejo de JavaScript, NodeJs, Python
Amplio conocimiento de Unix y Linux.","Buen manejo de JavaScript, NodeJs, Python.
4 años de experiencia en testing automatizado (deseable).
Ganas de trabajar en equipo.
Amplio conocimiento de Unix y Linux.
Manejo de inglés nivel intermedio.",https://www.getonbrd.com/empleos/sysadmin-devops-qa/qa-engineer-cursalab-remote
Jefe de Proyectos Servicios IoT,Chile,Santiago,Presencial,Senior,FULL_TIME,"Producto, Innovación y Agilidad",1950.0,2023-07-17,34,Skyl,"['Internet of Things', 'Big Data', 'IoT', 'English', 'Cloud', 'Project Manager']","Gestionar los proyectos bajo su responsabilidad, manejando los indicadores claves de gestión.
Dirigir a los equipos involucrados en cada proyecto
Remover impedimentos que puedan afectar la entrega de los servicios
Proponer e implementar mejoras a la operación.
Asegurar que los clientes estén satisfechos con la empresa en todo momento y de que se repitan los negocios resolviendo cualquier problema pendiente.","Formación base
Ingeniero Civil o Ingeniero Civil Industrial.
Conocimientos:
Gestión de proyectos tecnológicos.
Deseable conocimientos de PMO.
Conocimientos de tecnologías relacionadas a Internet of things (IOT).
Conocimientos de Big Data.
Experiencias específicas relevantes:
Experiencia en implementación de proyectos de tecnología innovadores.
Experiencia en proyectos tecnológicos implementados en el mundo de Retail y/o Aeropuertos.
Experiencia gestionando proyectos con MS Project.
Experiencia utilizando herramientas de gestión en la nube: Monday, One Drive, Drive, otros.
Deseable experiencia trabajando en empresas pequeñas o medianas.
Otros:
Disponibilidad para viajes dentro y fuera de Chile.
Disponibilidad para visitas periódicas a los servicios en terreno.
Idioma
Inglés Avanzado
Otros atributos conductuales o de personalidad
Orientación al logro de objetivos.
Estructura y planificación.
Capacidad de seguimiento y cierre.",https://www.getonbrd.com/empleos/innovacion-agilidad/jefe-de-proyectos-servicios-iot-skyl-santiago
Controlador Crew,Chile,Santiago,Presencial,Junior,FULL_TIME,Operaciones / Admin,850.0,2023-06-20,56,Sky Airline,['English'],"Estos serán tus focos:
- Controlar el cumplimiento de condiciones de habilitación/certificación y parámetros legales necesarios en cada asignación de las tripulaciones requeridas para cada
operación.
- Proporcionar soluciones ante coyunturas operacionales aplicando cambios en los roles de las tripulaciones en el tiempo estimado.
- Programar e informar diariamente el movimiento de las actividades a realizar por las tripulaciones.
- Recomendar soluciones al supervisor de CCOI frente a las eventualidades y contingencias que impliquen cambios en la
actividad de las tripulaciones.
- Coordinar con el proveedor de transporte los recorridos de los tripulantes.","¿Qué esperamos de ti?
- Que cuentes con MS Office nivel intermedio
- Que tengas un manejo de inglés básico
- Que seas Técnico Profesional
- Que cuentes con al menos un año de experiencia en planificación, turnos o rubro de transporte",https://www.getonbrd.com/empleos/operaciones-management/controlador-crew-sky-airline-santiago
